,genre,book_id,title,predicted_vote,rank,,,
1,childrens_books,43128231,"The Tyrant's Tomb (The Trials of Apollo, #4)",6779.21862,1,,y,
2,childrens_books,36292177,The Remarkable Journey of Coyote Sunrise,3661.825552,2,,,
3,childrens_books,43319657,"Tunnel of Bones (Cassidy Blake, #2)",3341.107243,3,,,
4,childrens_books,40139216,"A Crystal of Time (The School for Good and Evil: The Camelot Years, #2)",2696.106002,4,,,
5,childrens_books,40390757,"The Strangers (Greystone Secrets, #1)",2643.487117,5,,,
6,childrens_books,34966859,Dragon Pearl,2025.54302,6,,,
7,childrens_books,43120234,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,1922.415886,7,,,
8,childrens_books,36005510,New Kid,1870.687767,8,,,
9,childrens_books,41067826,"Aru Shah and the Song of Death (Pandava Quartet, #2)",1862.350909,9,,,
10,childrens_books,42097227,Guts,1622.006774,10,,,
11,fantasy_books,40381319,The Priory of the Orange Tree,11825.03899,1,,,
12,fantasy_books,43263680,"Ninth House (Alex Stern, #1)",10093.30266,2,,~n,
13,fantasy_books,43575115,The Starless Sea,9662.376129,3,,,
14,fantasy_books,40524748,"Storm Cursed (Mercy Thompson, #11)",7982.320183,4,,,
15,fantasy_books,36906346,"The Winter of the Witch (Winternight Trilogy, #3)",7114.906957,5,,,
16,fantasy_books,39943621,"Fire & Blood (A Targaryen History, #1)",6398.06596,6,,,
17,fantasy_books,37638128,"Of Blood and Bone (Chronicles of The One, #2)",5475.792582,7,,,
18,fantasy_books,35297403,"The Red Scrolls of Magic (The Eldest Curses, #1)",4352.143193,8,,,
19,fantasy_books,41893832,Middlegame,3457.226544,9,,,
20,fantasy_books,40524312,"Black Leopard, Red Wolf (The Dark Star Trilogy, #1)",3383.835983,10,,,
21,fiction_books,42975172,"The Testaments (The Handmaid's Tale, #2)",23313.22434,1,,y,
22,fiction_books,41057294,Normal People,14421.78473,2,,,
23,fiction_books,42201996,"Ask Again, Yes",11129.53892,3,,,
24,fiction_books,40545956,Where the Forest Meets the Stars,9721.391869,4,,,
25,fiction_books,41723456,The Overdue Life of Amy Byler,7080.183357,5,,,
26,fiction_books,41880609,On Earth We're Briefly Gorgeous,7001.56176,6,,,
27,fiction_books,34313931,A Woman Is No Man,5863.635695,7,,,
28,fiction_books,43984883,"Olive, Again",4814.223589,8,,,
29,fiction_books,41880044,The Most Fun We Ever Had,4261.620257,9,,,
30,fiction_books,40539165,Queenie,3942.737906,10,,,
