Toán,Ngữ văn,Vật lí,Hóa học,Sinh học,KHTN,Lịch sử,Địa lí,GDCD,KHXH,Tiếng Anh
3.60,7.25,3.75,4.00,4.00,3.92,5.00,5.50,8.50,6.33,2.60
3.40,5.50,4.00,2.50,3.50,3.33,3.75,6.25,8.25,6.08,2.80
3.20,7.50,2.25,4.50,5.50,4.08,3.25,6.75,9.00,6.33,3.80
2.00,5.00,3.50,3.50,4.25,3.75,5.75,6.50,6.75,6.33,2.80
4.20,5.00,3.75,3.00,4.00,3.58,4.25,6.50,7.00,5.92,3.20
2.60,6.50,2.25,2.50,2.25,2.33,3.00,4.00,7.50,4.83,4.40
2.40,5.25,3.00,3.50,4.50,3.67,3.50,6.00,7.50,5.67,3.60
5.60,6.50,6.50,5.25,4.50,5.42,5.00,7.50,9.00,7.17,3.20
4.80,7.75,2.25,4.00,5.00,3.75,6.00,7.25,8.50,7.25,3.00
2.00,6.00,2.75,2.75,4.25,3.25,3.25,4.00,7.25,4.83,3.60
9.20,7.50,6.50,8.50,5.00,6.67,3.50,6.75,8.25,6.17,7.40
4.20,6.00,4.25,3.75,4.00,4,5.50,8.75,9.25,7.83,7.40
1.60,5.00,2.50,4.50,3.50,3.5,4.00,5.75,7.25,5.67,2.60
4.60,7.00,4.50,3.50,4.25,4.08,4.75,6.75,8.00,6.5,3.40
4.00,7.25,2.50,3.75,3.00,3.08,4.75,7.25,8.75,6.92,2.00
5.00,5.75,5.50,3.25,5.00,4.58,5.25,7.25,9.00,7.17,2.80
5.20,7.25,4.00,4.75,6.25,5,5.75,7.50,8.75,7.33,4.60
4.60,7.00,2.75,3.25,5.00,3.67,5.00,6.50,7.75,6.42,3.20
6.00,7.75,7.00,2.50,3.75,4.42,2.25,6.75,x7.75,5.58,7.00
5.00,8.50,3.50,2.25,6.25,4,9.00,9.50,8.50,9,3.20
3.40,6.75,5.75,4.50,5.75,5.33,5.50,6.50,8.50,6.83,3.40
7.60,8.00,3.75,6.25,6.00,5.33,5.25,6.25,8.50,6.67,5.00
4.00,6.75,2.75,3.00,3.00,2.92,4.50,4.25,7.25,5.33,3.40
3.20,5.50,6.75,4.25,3.50,4.83,3.25,5.00,6.75,5,5.00
5.60,7.25,4.25,4.25,4.50,4.33,2.50,7.50,7.25,5.75,2.80
3.00,3.75,3.00,2.50,2.25,2.58,3.00,4.50,7.50,5,2.20
5.00,5.00,4.50,3.25,4.25,4,6.75,9.00,9.25,8.33,3.60
4.60,8.00,3.25,3.50,4.25,3.67,5.00,6.25,8.25,6.5,3.20
4.80,7.50,3.75,4.25,5.25,4.42,4.50,6.00,8.75,6.42,3.40
6.80,9.00,2.75,6.75,7.00,5.5,5.75,8.25,7.50,7.17,6.00
3.40,5.25,3.00,4.00,4.00,3.67,5.00,6.00,9.00,6.67,3.00
5.00,7.25,6.75,3.25,4.50,4.83,3.75,7.50,8.25,6.5,8.40
3.60,5.50,3.75,3.25,3.75,3.58,4.25,5.25,8.00,5.83,3.00
3.20,6.00,4.75,2.50,1.75,3,3.75,4.25,8.75,5.58,3.80
3.40,4.75,2.00,1.75,5.00,2.92,4.50,5.50,7.25,5.75,3.20
2.80,4.00,3.00,3.00,2.75,2.92,2.75,4.50,7.00,4.75,2.40
3.00,7.75,2.75,2.25,4.50,3.17,3.75,6.50,7.50,5.92,1.80
4.00,6.75,3.75,2.75,4.75,3.75,6.00,6.75,8.75,7.17,3.20
7.00,7.25,5.50,4.25,4.50,4.75,5.25,7.00,7.75,6.67,1.40
